Time stamp,Reward,Error,Kp,Tn,Tv,setpoint,learning_rate,num_policy,num_reward,Status
197,-230.72651644155687,231.19855299881777,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
198,-231.19855299881777,231.66683062810384,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
199,-231.66683062810384,232.13137924760414,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
200,-232.13137924760414,232.59222853834595,0.1,0.0,0.0,40.0,0.001,1.0,0.0,ok
201,-232.59222853834595,233.04940794601265,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
202,-233.04940794601265,233.50294668275149,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
203,-233.50294668275149,233.82550382108235,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
204,-233.82550382108235,233.90209056177466,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
205,-233.90209056177466,233.75035328791876,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
206,-233.75035328791876,233.3867867704136,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
207,-233.3867867704136,232.82680850450467,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
208,-232.82680850450467,232.08482825433538,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
209,-232.08482825433538,231.17431311436954,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
210,-231.17431311436954,230.107848376635,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
211,-230.107848376635,228.89719447411477,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
212,-228.89719447411477,227.55334025319036,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
213,-227.55334025319036,226.08655281174157,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
214,-226.08655281174157,224.5064241242564,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
215,-224.5064241242564,222.8219146610397,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
216,-222.8219146610397,221.0413941952616,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
217,-221.0413941952616,219.17267997909894,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
218,-219.17267997909894,217.22307245854176,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
219,-217.22307245854176,215.19938868550815,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
220,-215.19938868550815,213.10799357568425,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
221,-213.10799357568425,210.9548291509424,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
222,-210.9548291509424,208.74544189624055,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
223,-208.74544189624055,206.48500835253233,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
224,-206.48500835253233,204.17835905938603,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
225,-204.17835905938603,201.83000095368263,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
226,-201.83000095368263,199.44413832390558,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
227,-199.44413832390558,197.02469241312338,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
228,-197.02469241312338,194.57531975776425,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
229,-194.57531975776425,192.09942934366862,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
230,-192.09942934366862,189.60019865565386,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
231,-189.60019865565386,187.08058869191075,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
232,-187.08058869191075,184.54335800995744,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
233,-184.54335800995744,181.99107586657175,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
234,-181.99107586657175,179.42613451010382,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
235,-179.42613451010382,176.8507606798047,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
236,-176.8507606798047,174.26702636328412,0.1,0.7155352830886841,1.611924648284912,40.0,0.001,1.0,0.0,ok
